ID,SEASON,WEEK,SEASON_TYPE,START_DATE,START_TIME_TBD,COMPLETED,NEUTRAL_SITE,CONFERENCE_GAME,ATTENDANCE,VENUE_ID,VENUE,HOME_ID,HOME_TEAM,HOME_CONFERENCE,HOME_DIVISION,HOME_POINTS,HOME_LINE_SCORES,HOME_POST_WIN_PROB,HOME_PREGAME_ELO,HOME_POSTGAME_ELO,AWAY_ID,AWAY_TEAM,AWAY_CONFERENCE,AWAY_DIVISION,AWAY_POINTS,AWAY_LINE_SCORES,AWAY_POST_WIN_PROB,AWAY_PREGAME_ELO,AWAY_POSTGAME_ELO,EXCITEMENT_INDEX,HIGHLIGHTS,NOTES
401426532,2022,1,regular,2022-08-27T16:00:00.000Z,False,True,False,False,13688.0,3796.0,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,Conference USA,fbs,38.0,"[7, 14, 0, 17]",0.9542764266226265,1684.0,1684.0,2046,Austin Peay,Atlantic Sun,fcs,27.0,"[10, 7, 3, 7]",0.04572357337737354,,,2.6135509766,,
401405059,2022,1,regular,2022-08-27T16:30:00.000Z,False,True,True,True,,3504.0,Aviva Stadium,77,Northwestern,Big Ten,fbs,31.0,"[3, 14, 7, 7]",0.5475434597351944,1361.0,1381.0,158,Nebraska,Big Ten,fbs,28.0,"[7, 7, 14, 0]",0.45245654026480564,1636.0,1616.0,8.3493556676,,
401439512,2022,1,regular,2022-08-27T19:00:00.000Z,False,True,True,False,,,,125762,Florida Memorial University,,,39.0,"[13, 13, 6, 7]",,,,2206,Edward Waters,SIAC,ii,34.0,"[0, 0, 21, 13]",,,,,,
401413213,2022,1,regular,2022-08-27T19:30:00.000Z,False,True,True,False,,3689.0,Cramton Bowl,55,Jacksonville State,Atlantic Sun,fcs,42.0,"[7, 14, 21, 0]",0.9988170830316713,,,2617,Stephen F. Austin,Western Athletic,fcs,17.0,"[7, 10, 0, 0]",0.0011829169683287288,,,5.2414690984,,FCS Kickoff
401413256,2022,1,regular,2022-08-27T19:30:00.000Z,False,True,False,False,19579.0,6501.0,Allegiant Stadium,2439,UNLV,Mountain West,fbs,52.0,"[10, 35, 0, 7]",,1300.0,1300.0,304,Idaho State,Big Sky,fcs,21.0,"[7, 0, 7, 7]",,,,,,
401405058,2022,1,regular,2022-08-27T20:00:00.000Z,False,True,False,False,37832.0,3832.0,Memorial Stadium,356,Illinois,Big Ten,fbs,38.0,"[7, 10, 7, 14]",0.9974722912053572,1496.0,1584.0,2751,Wyoming,Mountain West,fbs,6.0,"[3, 0, 3, 0]",0.0025277087946428134,1497.0,1409.0,2.5714169140,,
401404146,2022,1,regular,2022-08-27T20:00:00.000Z,False,True,False,False,19553.0,3905.0,Romney Stadium,328,Utah State,Mountain West,fbs,31.0,"[0, 24, 0, 7]",0.9891655857079721,1566.0,1555.0,41,Connecticut,FBS Independents,fbs,20.0,"[14, 0, 0, 6]",0.010834414292027916,1117.0,1128.0,4.5637067523,,
401411090,2022,1,regular,2022-08-27T21:00:00.000Z,False,True,False,False,51207.0,3697.0,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,fbs,47.0,"[20, 6, 14, 7]",0.9989422079694538,1501.0,1501.0,2184,Duquesne,NEC,fcs,7.0,"[0, 0, 7, 0]",0.001057792030546234,,,1.0589535880,,
401423448,2022,1,regular,2022-08-27T23:00:00.000Z,False,True,True,False,,4246.0,Georgia State Stadium,2011,Alabama State,SWAC,fcs,23.0,"[6, 7, 7, 3]",0.9706268530036973,,,47,Howard,MEAC,fcs,13.0,"[3, 3, 0, 7]",0.029373146996302668,,,5.8728268228,,Cricket MEAC/SWAC Challenge Kickoff
401422922,2022,1,regular,2022-08-27T23:00:00.000Z,False,True,False,False,,4417.0,Five Star Stadium at the Moye Complex,2382,Mercer,Southern,fcs,63.0,"[14, 28, 14, 7]",0.9989681925900179,,,2413,Morehead State,Pioneer,fcs,13.0,"[0, 10, 3, 0]",0.0010318074099820995,,,1.1544784977,,
